42: 1
adobe: -10
adobe flash: -1
aenerb: 6
allergies: -31
also openbsd: 7
ambiance: 10
android: 1
andy olds: 10
angry birds: 12
apple: 1
aromatics: 1
art gray: -10
asthma: -50
autopay: 1
autospec: 10
autotune: -1
avatar: 1
awake: -1
babies: -1
bad ringtones: -1
bananas: 1
bank of america: -1
basketball: -1
bbc life: 1
beers for redbeard: 1
belkar: 1
benchmarks: 10
betty white: 10
bills: -11
blowjobs: 10
bofh: 1
boobs: 10
bootselven: 14
bootselvens bbq: 3
bp: -102
brian koski: -30
brother printers: -10
bsd: 11
buddha: 1
bugs: -1
burgers: 10
cab calloway: 1
cabana boy for max: 1
caffeine: -1
cage the elephant: 1
calamine lotion: 1
canned tuna: -1
captain jack sparrow: 1
carson fisher: 5
cassie: 1
cassie heyblom: 12
casual work environment: 1
chameleon: 20
charisma carpenter: 10
charter: -11
chiggers: -16
chunky onions: -1
cisco: 10
clementines: 1
clients: -1
cloudkill: 1
coffee for aenerb: 1
colds: -10
colloquy: -2
cookies: 11
cookies for aenerb: 1
cookies for boots: 1
cookies for chris: 10
cookies for max: 1
cookies for redbeard: 0
cookies for syn: 13
coraline: 1
corporate: -1
crab rangoons for packetmonkey: 1
cramps: -1
crushed red pepper: 5
cthulhu: 10
cupcakes: 10
curry: 1
dallas: 1
dan allen: 1
dart gun: 1
datsyuk: 10
dilbert: 10
dns: 1
dr pepper: 2
duke nukem: 1
dust storms: -1
ears: 19
email: -1
emma watson: 12
engrishbob: 11
erlang: 11
etime: -1
exchange: -11
eye twitching: -1
eyes: -1
facebook: -1
faraz mohammad: -14
filemaker: -43
flatulence: -10
flip flops: -1
flogging molly: 1
food: 1
forgetting laptop powercord: -10
formtastic: 11
foxnews: -11
franzen: 40
fred rogers: 11
friday: 5
frito pie: 1
futurama: 14
gamers: 22
garlic: 2
git: 31
glee: 1
godaddy: -11
google: 1
gossip: -1
grilling: 2
guinness: 10
gum popping: -21
guns 'n' roses: 1
hacker: 1
haley: 11
halflings: -1
haml: 4
heroku: 1
hiccups: -2
hockey: 2
homebrew: 1
howard: 10
html frames: -10
hummingbirds: -6
hummus: 10
hunger: -1
ice cream: -1
id software: 10
intercourse: 10
ipad: 1
ironangel: 10
isaac asimov: 10
jake pataniczek: -4
jbitch: -20
jeff gardner: -20
jherim tubahd: 1
jimmy johns: 1
karma: 1
kerio: -1
kieth schierbeek: 1
kimchi: -1
kmfdm: 2
lack of comments: -1
late meetings: 1
legos: 10
lemtoosjob: -1
lg ally: 1
libpng: -1
life: -1
linux: 2
livereload: 1
lua: 10
lunch: 7
macports: -1
maptool: 10
marvin gaye: 1
matt tennison: -179
maximus: 47
maxtor: -1
meetings: -2
meta programming: 1
metaprogramming: 11
mexican food: -1
mia michaels: 1
michael nichols: -26
michigan: -1
microsoft: -11
microsoft dns: -1
middleman: 1
monday: -7
mongo: 32
mongodb: 21
mongomapper: 1
morning: -1
mornings: -1
msie: -61
muffins: 10
mutt: 1
nagios: 1
naps: 3
nascar: -10
neil gaiman: 2
nethack: 2
ninja assassin: -23
noc: -1
nofx: 1
noodles: 1
noscript: 1
novabot: 840
nse: -50
nvabot: 0
office space: 11
openoffice: -30
operation ivy: 1
osx: 13
outlook: -1
packetmonkey: 32
pagination: 1
pam: -1
photoshop: 9
php: -10
pillows: 1
pixelmater: 10
plain text: 5
plumbers costs: -1
pop tarts: 3
porthos: -10
post lunch naps: 2
product placement: -1
programming: 10
public bathrooms: -10
puppies: 1
rack: -1
radiant: 1
radiant cms: 8
rails: 1
rainymood: 1
rainymoods: 1
red wings: 10
redbeard: -1
remedy: -10
remote access: 1
reset styles: 1
ribs for syn: 10
rice cooker: 1
rng: -31
rob nowak: 11
robots: 1
roger moore: 10
rspec: 1
ruby: 37
rubygems: -10
run lola run: 1
runes of magic: 11
ryan: 0
ryan mackowiak: -13
salads: 1
sales reps: -1
sarah palin: -1
sass: 1
savage worlds: 10
screen: 11
serotonin: 1
server downtine: -1
sex for packetmonkey: 8
silence: 1
sinatra: 12
sleep: 13
slipknot: 1
snapping gum: -10
snow: -20
spacehobo: 46
spam: -1
spice cake: 1
sqlite3: -1
stabbing: -1
stapler thieves: -10
starcraft 2: 1
stevie wonder: 1
stewie: 1
stoned beholder: 3
string cheese: 1
subway: 1
summer glau: 122
syn: 27
syntoo: -10
sytycd: 11
tac: -1
tacohouse: 1
tdd: 1
tea: 13
team jacob: 10
team model: -1
teenagers: -10
texas: 1
thayle: 1
the lonely island: 1
the man: -3
the onion: 10
time sheets: -1
timesheets: -1
tofu: 9
travis wall: 1
tuna: 1
twilight: -270
unix: 2
unne: 38
vernors: 1
vim: 19
wall of text: -10
walmart: -1
webmd: -1
websense: -2
weekend: 1
willow: 2
windows: -23
windows 7: -21
windows media player: -1
windows xp: -1
windy watson: -198
wireshark: 10
withdrawals: -10
word: -1
work: -1
working from home: 10
xkcd: 75
xlcd: 1
yogurt: 2
zend: -11
zombieland: 1
